% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.96                     0.8800000000000001       -0.002879375375528049    -7.842922182284129E-4    0.003015772938808295     -9.618650927201328E-4    1.739472835548241E-6
-0.9400000000000001       0.9000000000000001       -0.0028189446753770983   -8.035559333604237E-4    0.0030178893781108856    -9.628514704288563E-4    2.111619236721749E-6
-0.9199999999999999       0.9199999999999999       -0.0027584619403862747   -8.228401568227017E-4    0.0030197013793532104    -9.635276383914544E-4    2.184874593814607E-6
-0.8999999999999999       0.94                     -0.0026979471732124015   -8.421362401959189E-4    0.003021201762803715     -9.638865929795527E-4    1.983672552301428E-6
-0.8799999999999999       0.96                     -0.002637420027424515    -8.614348753197197E-4    0.0030223897530297222    -9.639284617982367E-4    1.5346205150881809E-6
-0.8599999999999999       0.98                     -0.002576899623256416    -8.807262164628602E-4    0.0030232715147465866    -9.636610141027582E-4    8.658225224978064E-7
-0.8400000000000001       1                        -0.0025164043339878997   -9.000000000000001E-4    0.003023861093574521     -9.630987233579247E-4    7.261088352111811E-9
-1                        0.8200000000000001       -0.0030000000000000005   -7.266945556217326E-4    0.003007687056248478     -9.572160003653851E-4    1.510315232137553E-8
-0.98                     0.8400000000000001       -0.0029397863496620365   -7.458609714416361E-4    0.0030107451154361745    -9.590158999624003E-4    1.220844616892323E-6
-0.96                     0.8600000000000001       -0.0028794655462383908   -7.650682466241657E-4    0.003013530205619582     -9.605413304200975E-4    2.068050615794866E-6
-0.94                     0.8800000000000001       -0.0028190580416628283   -7.843098695426302E-4    0.0030160230570623566    -9.617676206782399E-4    2.5773344125497716E-6
-0.9199999999999999       0.9000000000000001       -0.0027585843360284734   -8.035782675998507E-4    0.003018206372310183     -9.62676993709834E-4     2.771270942204789E-6
-0.8999999999999999       0.9199999999999999       -0.0026980648404034096   -8.228649750994802E-4    0.0030200688967340628    -9.63258157442091E-4     2.675957148564126E-6
-0.8799999999999999       0.94                     -0.0026375196798115387   -8.421607237726587E-4    0.003021605605675969     -9.635069181378637E-4    2.3201720030640908E-6
-0.8599999999999999       0.96                     -0.002576968496473451    -8.614555564235743E-4    0.0030228183944247997    -9.634265787531552E-4    1.7348405108973351E-6
-0.8400000000000001       0.98                     -0.002516430256330243    -8.807389610880815E-4    0.0030237165075842573    -9.630283716138092E-4    9.521829903748336E-7
-0.8200000000000001       1                        -0.002455923026704858    -9.000000000000001E-4    0.003024317488048165     -9.623302878504608E-4    6.0937408475717864E-9
-1                        0.8                      -0.0030000000000000005   -7.075707674944039E-4    0.0030043129987835557    -9.551639957961605E-4    1.5889872856158133E-8
-0.98                     0.8200000000000001       -0.0029398462429666363   -7.26698705393246E-4     0.003007753597580117     -9.57214254048064E-4     1.403772394448106E-6
-0.96                     0.8400000000000001       -0.002879570296491969    -7.458729907366585E-4    0.0030109240831860257    -9.58992125114886E-4     2.4136716760137186E-6
-0.94                     0.8600000000000001       -0.002819192862478       -7.65087617581122E-4     0.0030138022781281       -9.604693640140697E-4    3.0663063076488695E-6
-0.9199999999999999       0.8800000000000001       -0.002758734773947124    -7.843354092021535E-4    0.0030163672640456615    -9.616241630366097E-4    3.3848801559953345E-6
-0.8999999999999999       0.9000000000000001       -0.0026982168581059437   -8.036081691137363E-4    0.0030186036578574438    -9.624408570926233E-4    3.3967055917509537E-6
-0.8799999999999999       0.9199999999999999       -0.0026376597332622687   -8.228967574068082E-4    0.0030205020031902202    -9.629107334565209E-4    3.1323696078056074E-6
-0.8599999999999999       0.94                     -0.0025770836009299694   -8.421911947559382E-4    0.0030220596612365916    -9.630326206115138E-4    2.6251796391904094E-6
