% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.1005                    0                        1.3276720395953266E-4    0.002407989486215844     71.54721818008102        524.7977225894357        4.2928330908048595E-4
0.1015                    0                        1.351837581200212E-4     0.0024250978428523523    71.02242045748804        524.7977225894357        4.261345227449282E-4
0.1025                    0                        1.3761735766141953E-4    0.002442080248035438     70.49762273490063        524.7977225894357        4.2298573640940363E-4
0.1035                    0                        1.4006787663227424E-4    0.002458936701765106     69.97282501230778        524.7977225894357        4.198369500738466E-4
0.1045                    0                        1.4253518908113194E-4    0.0024756672040413433    69.44802728971746        524.7977225894357        4.1668816373830467E-4
0.1055                    0                        1.4501916905653914E-4    0.0024922717548641698    68.92322956712773        524.7977225894357        4.1353937740276625E-4
0.1065                    0                        1.4751969060704245E-4    0.002508750354233568     68.39843184453498        524.7977225894357        4.1039059106720983E-4
0.1075                    0                        1.5003662778118848E-4    0.002525103002149545     67.87363412194641        524.7977225894357        4.072418047316784E-4
0.1085                    0                        1.5256985462752375E-4    0.0025413296986121024    67.34883639935668        524.7977225894357        4.0409301839614E-4
0.1095                    0                        1.5511924519459488E-4    0.0025574304436212364    66.82403867676787        524.7977225894357        4.0094423206060714E-4
0.1105                    0                        1.5768467358094843E-4    0.0025734055371769496    66.30424095417736        514.7977225921827        3.978254457250641E-4
0.1115                    0                        1.6026601503513096E-4    0.0025892567792792404    65.78944323157751        514.7977225921827        3.94736659389465E-4
0.1125                    0                        1.628631459556891E-4     0.002604984469928106     65.27464550898506        514.7977225921827        3.9164787305391027E-4
0.1135                    0                        1.6547594279116938E-4    0.0026205886091235546    64.75984778639267        514.7977225921827        3.8855908671835593E-4
0.1145                    0                        1.6810428199011838E-4    0.0026360691968655777    64.24505006380132        514.7977225921827        3.854703003828078E-4
